Ebene;Objektart;Objektartcode;Anzahl
geb01_f;AX_Gebiet_Bundesland;75005;1
geb01_f;AX_Gebiet_Kreis;75007;14
geb01_f;AX_Gebiet_Verwaltungsgemeinschaft;75011;18
geb01_f;AX_KommunalesGebiet;75003;218
geb01_l;AX_Gebietsgrenze;75009;9944
geb01_n;AX_Bundesland;73002;1
geb01_n;AX_Gemeinde;73005;218
geb01_n;AX_KreisRegion;73004;14
geb01_n;AX_Verwaltungsgemeinschaft;73009;18
geb02_f;AX_Insel;74004;81
geb02_p;AX_Wohnplatz;74005;1641
geb03_f;AX_Denkmalschutzrecht;71009;228
geb03_f;AX_NaturUmweltOderBodenschutzrecht;71006;773
geb03_f;AX_Schutzzone;71012;7
geb03_f;AX_SonstigesRecht;71011;79
geb03_l;AX_Denkmalschutzrecht;71009;52
geb03_l;AX_NaturUmweltOderBodenschutzrecht;71006;91
geb03_p;AX_Denkmalschutzrecht;71009;409
geb03_p;AX_NaturUmweltOderBodenschutzrecht;71006;1232
gew01_f;AX_Fliessgewaesser;44001;1981
gew01_f;AX_Hafenbecken;44005;24
gew01_f;AX_StehendesGewaesser;44006;7528
gew01_l;AX_Gewaesserachse;44004;151044
gew02_f;AX_Gewaessermerkmal;55001;88
gew02_l;AX_Sickerstrecke;57004;1
gew02_p;AX_Gewaessermerkmal;55001;729
gew02_p;AX_Wasserspiegelhoehe;57001;288
gew03_l;AX_Gewaesserstationierungsachse;57003;6369
hdu01_b;;;61207
hdu01_f;;;1821
hdu01_l;;;59386
hho01_b;;;21010
hho01_l;;;648
hho01_p;;;20362
rel01_f;AX_FelsenFelsblockFelsnadel;61006;18
rel01_l;AX_DammWallDeich;61003;17534
rel01_l;AX_FelsenFelsblockFelsnadel;61006;766
rel01_p;AX_FelsenFelsblockFelsnadel;61006;271
rel01_p;AX_Hoehleneingang;61005;14
sie01_f;AX_Ortslage;52001;3386
sie02_f;AX_Bergbaubetrieb;41004;9
sie02_f;AX_FlaecheBesondererFunktionalerPraegung;41007;3908
sie02_f;AX_FlaecheGemischterNutzung;41006;53016
sie02_f;AX_Friedhof;41009;2482
sie02_f;AX_Halde;41003;117
sie02_f;AX_IndustrieUndGewerbeflaeche;41002;18648
sie02_f;AX_SportFreizeitUndErholungsflaeche;41008;12673
sie02_f;AX_TagebauGrubeSteinbruch;41005;825
sie02_f;AX_Wohnbauflaeche;41001;24432
sie03_f;AX_BauwerkOderAnlageFuerIndustrieUndGewerbe;51002;4082
sie03_f;AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;51006;1744
sie03_f;AX_HistorischesBauwerkOderHistorischeEinrichtung;51007;236
sie03_f;AX_SonstigesBauwerkOderSonstigeEinrichtung;51009;27
sie03_f;AX_VorratsbehaelterSpeicherbauwerk;51003;2546
sie03_l;AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;51006;185
sie03_l;AX_HistorischesBauwerkOderHistorischeEinrichtung;51007;580
sie03_l;AX_Leitung;51005;3233
sie03_l;AX_SonstigesBauwerkOderSonstigeEinrichtung;51009;2981
sie03_l;AX_Transportanlage;51004;100
